client_id,age,gender,driving_experience,car_model,year_of_manufacture,car_usage,annual_mileage,location,has_caused_accident,num_of_accidents,vehicle_value,risk_level
CL0001,56,Male,35,Toyota Premio,2019,Commercial,21284,Kisumu,Yes,1,2734489,Medium
CL0002,28,Male,8,Toyota Prado,2008,Personal,26023,Thika,Yes,3,2638242,High
CL0003,41,Male,20,Toyota Vitz,2010,Personal,12433,Nakuru,No,0,1291743,Low
CL0004,50,Female,29,Toyota Premio,2016,Personal,37480,Nairobi,No,0,1417040,Low
CL0005,59,Male,38,Toyota Prado,2020,Commercial,10189,Nakuru,No,0,3775709,Low
CL0006,68,Male,47,Toyota Vitz,2007,Personal,13556,Thika,No,0,1028178,Low
CL0007,26,Female,2,Toyota Prado,2022,PSV,20627,Nakuru,No,0,3916664,Low
CL0008,67,Female,48,Toyota Premio,2013,Personal,33897,Thika,Yes,1,568148,Medium
CL0009,45,Female,21,Isuzu NQR,2011,PSV,27159,Mombasa,Yes,1,2370928,Medium
CL0010,57,Male,36,Isuzu NQR,2006,Personal,11021,Nairobi,Yes,1,2805413,Medium
CL0011,21,Female,0,Subaru Impreza,2022,PSV,16873,Kakamega,No,0,2799435,Low
CL0012,53,Female,30,Subaru Forester,2020,PSV,21534,Kakamega,No,0,3085031,Low
CL0013,57,Male,35,Toyota Hiace,2020,Commercial,34300,Nairobi,No,0,3204238,Low
CL0014,43,Female,25,Subaru Impreza,2017,Commercial,49976,Kisumu,Yes,2,1925472,High
CL0015,41,Female,23,Subaru Forester,2016,Personal,12695,Thika,No,0,2252126,Low
CL0016,34,Male,14,Toyota Premio,2007,Commercial,22666,Mombasa,No,0,2731785,Low
CL0017,58,Female,37,Subaru Impreza,2011,Personal,18392,Kakamega,No,0,1579111,Low
CL0018,50,Male,26,Honda Fit,2009,PSV,40818,Eldoret,Yes,1,4102279,Medium
CL0019,52,Female,34,Nissan Note,2007,PSV,18110,Kisumu,No,0,2021101,Low
CL0020,22,Male,3,Mazda Demio,2018,Commercial,35446,Thika,No,0,622409,Low
